CodiProv CodiDiagnost dies sexe
23 0207 497 H
23 0208 1881 H
23 0209 11095 H
23 0210 146 H
23 0211 136 H
23 0212 -99 H
23 0213 1102 H
23 0301 958 H
23 0302 782 H
23 0401 1696 H
23 0402 1089 H
23 0501 233 H
23 0502 251 H
23 0503 449 H
23 0504 2905 H
23 0505 2153 H
23 0506 2074 H
23 0601 33 H
23 0602 27 H
23 0603 421 H
23 0604 499 H
23 0605 3270 H
23 0701 108 H
23 0702 1329 H
23 0800 323 H
23 0901 1016 H
23 0902 624 H
23 0903 2108 H
23 0904 1059 H
23 0905 1064 H
23 0906 1539 H
23 0907 3543 H
23 0908 7024 H
23 0909 1436 H
23 0910 29 H
23 0911 2419 H
23 1001 665 H
23 1002 6776 H
23 1003 1507 H
23 1004 126 H
23 1005 592 H
23 1006 4728 H
23 1007 179 H
23 1008 9391 H
23 1101 129 H
23 1102 219 H
23 1103 406 H
23 1104 648 H
23 1105 353 H
23 1106 1298 H
23 1107 524 H
23 1108 728 H
23 1109 1094 H
23 1110 795 H
23 1111 764 H
23 1112 751 H
23 1113 979 H
23 1114 758 H
23 1115 1211 H
23 1116 1115 H
23 1117 3186 H
23 1118 1004 H
23 1119 2519 H
23 1120 2326 H
23 1201 595 H
23 1202 35 H
23 1203 548 H
23 1301 818 H
23 1302 1467 H
23 1303 262 H
23 1304 618 H
23 1305 217 H
23 1306 561 H
23 1307 324 H
23 1308 188 H
23 1309 580 H
23 1310 422 H
23 1401 973 H
23 1402 2759 H
23 1403 473 H
23 1404 2315 H
23 1405 558 H
23 1406 563 H
23 1407 24 H
23 1408 -99 H
23 1409 -99 H
23 1410 237 H
23 1501 -99 H
23 1502 -99 H
23 1503 -99 H
23 1504 -99 H
23 1505 -99 H
23 1506 -99 H
23 1507 -99 H
23 1508 -99 H
23 1601 1692 H
23 1602 991 H
23 1700 407 H
23 1801 567 H
23 1802 507 H
23 1803 -99 H
23 1804 3937 H
23 1901 1631 H
23 1902 805 H
23 1903 272 H
23 1904 2044 H
23 1905 880 H
23 1906 2435 H
23 1907 12 H
23 1908 479 H
23 1909 3094 H
23 1911 853 H
23 2101 32 H
23 2102 14 H
23 2103 -99 H
23 2104 895 H
23 2105 439 H
23 9998 3147 H
23 0101 283 M
23 0102 90 M
23 0103 70 M
23 0104 2500 M
23 0105 39 M
23 0106 906 M
23 0201 2513 M
23 0202 555 M
23 0203 43 M
23 0204 1245 M
23 0205 794 M
23 0206 517 M
23 0207 -99 M
23 0208 209 M
23 0209 5796 M
23 0210 88 M
23 0211 78 M
23 0212 831 M
23 0213 1460 M
23 0301 843 M
23 0302 718 M
23 0401 805 M
23 0402 1963 M
23 0501 85 M
23 0502 48 M
23 0503 89 M
23 0504 1788 M
23 0505 3155 M
23 0506 2806 M
23 0601 76 M
23 0602 108 M
23 0603 449 M
23 0604 610 M
23 0605 2359 M
23 0701 80 M
